Product Title,link,Product Price,Product Rating,Number of Product Reviews
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_1?crid=2M096C61O4MLT&keywords=bags&qid=1675424709&sprefix=ba%2Caps%2C283&sr=8-1,"1,299",4.1 out of 5 stars,"51,370"
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_2?crid=2M096C61O4MLT&keywords=bags&qid=1675424709&sprefix=ba%2Caps%2C283&sr=8-2,565,4.3 out of 5 stars,"9,226"
Skybags Brat Black 46 Cms Casual Backpack,https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1675424709&sprefix=ba%2Caps%2C283&sr=8-3,669,4.1 out of 5 stars,"3,368"
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1675424709&sprefix=ba%2Caps%2C283&sr=8-4,499,3.9 out of 5 stars,462
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1675424709&sprefix=ba%2Caps%2C283&sr=8-5,889,4.3 out of 5 stars,"5,318"
"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1675424709&sprefix=ba%2Caps%2C283&sr=8-6,498,4.3 out of 5 stars,"12,103"
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1675424709&sprefix=ba%2Caps%2C283&sr=8-7,349,4.1 out of 5 stars,"7,630"
DEIN KLEIDER Men's Nylon Messenger Bag,https://www.amazon.in/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1675424709&sprefix=ba%2Caps%2C283&sr=8-8,349,4.0 out of 5 stars,"4,397"
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",https://www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B26VHXV/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1675424709&sprefix=ba%2Caps%2C283&sr=8-9,699,3.9 out of 5 stars,"2,184"
ADISA Light Weight Laptop Backpack 32 Ltrs,https://www.amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1675424709&sprefix=ba%2Caps%2C283&sr=8-10,499,4.0 out of 5 stars,"5,547"
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_11?crid=2M096C61O4MLT&keywords=bags&qid=1675424709&sprefix=ba%2Caps%2C283&sr=8-11,849,3.9 out of 5 stars,"2,126"
"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_12?crid=2M096C61O4MLT&keywords=bags&qid=1675424709&sprefix=ba%2Caps%2C283&sr=8-12,"1,999",3.9 out of 5 stars,710
"Safari Spartan 21 Ltrs Water Resistant Backpack - Blue, S (SPARTAN19CBBLU)",https://www.amazon.in/Safari-Spartan-Water-Resistant-Backpack/dp/B09B26MB5M/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1675424709&sprefix=ba%2Caps%2C283&sr=8-13,599,3.8 out of 5 stars,628
Bennett™ Mystic Formal Business Briefcase Bag Crossbody Messenger College Bags For Men Women MacBook INoteBook ITablet Laptop Upto 15.6 Inch | Handbags with Shoulder Straps (Blue) 6 Months Warranty,https://www.amazon.in/Bennett-Mystic-Shoulder-Messenger-Repellent/dp/B08X2T2M8G/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1675424709&sprefix=ba%2Caps%2C283&sr=8-14,512,4.1 out of 5 stars,"4,860"
